Coordinates:  (0.000000 , 0.000000)  (1.000000 , 0.000000)  (1.000000 , 1.000000)  Lengths:  (1.000000 , 1.000000)  (1.000000 , 1.000000)  (1.414214 , 1.414214)  Permieter: 3.414214 Area: 0.500000 numDots: 0
Coordinates:  (0.000000 , 0.000000)  (2.000000 , 1.000000)  (1.000000 , 2.000000)  Lengths:  (2.236068 , 2.236068)  (1.414214 , 1.414214)  (2.236068 , 2.236068)  Permieter: 5.886350 Area: 1.500000 numDots: 1
Coordinates:  (0.000000 , 0.000000)  (2.000000 , 1.000000)  (1.000000 , 3.000000)  Lengths:  (2.236068 , 2.236068)  (2.236068 , 2.236068)  (3.162278 , 3.162278)  Permieter: 7.634414 Area: 2.500000 numDots: 2
Coordinates:  (0.000000 , 0.000000)  (3.000000 , 1.000000)  (2.000000 , 3.000000)  Lengths:  (3.162278 , 3.162278)  (2.236068 , 2.236068)  (3.605551 , 3.605551)  Permieter: 9.003897 Area: 3.500000 numDots: 3
Coordinates:  (0.000000 , 0.000000)  (3.000000 , 2.000000)  (1.000000 , 4.000000)  Lengths:  (3.605551 , 3.605551)  (2.828427 , 2.828427)  (4.123106 , 4.123106)  Permieter: 10.557084 Area: 5.000000 numDots: 4
Coordinates:  (0.000000 , 0.000000)  (3.000000 , 1.000000)  (1.000000 , 4.000000)  Lengths:  (3.162278 , 3.162278)  (3.605551 , 3.605551)  (4.123106 , 4.123106)  Permieter: 10.890935 Area: 5.500000 numDots: 5
Coordinates:  (0.000000 , 0.000000)  (4.000000 , 1.000000)  (2.000000 , 4.000000)  Lengths:  (4.123106 , 4.123106)  (3.605551 , 3.605551)  (4.472136 , 4.472136)  Permieter: 12.200793 Area: 7.000000 numDots: 6
Coordinates:  (0.000000 , 0.000000)  (4.000000 , 2.000000)  (2.000000 , 5.000000)  Lengths:  (4.472136 , 4.472136)  (3.605551 , 3.605551)  (5.385165 , 5.385165)  Permieter: 13.462852 Area: 8.000000 numDots: 7
Coordinates:  (0.000000 , 0.000000)  (4.000000 , 3.000000)  (1.000000 , 5.000000)  Lengths:  (5.000000 , 5.000000)  (3.605551 , 3.605551)  (5.099020 , 5.099020)  Permieter: 13.704571 Area: 8.500000 numDots: 8
Coordinates:  (0.000000 , 0.000000)  (5.000000 , 1.000000)  (1.000000 , 4.000000)  Lengths:  (5.099020 , 5.099020)  (5.000000 , 5.000000)  (4.123106 , 4.123106)  Permieter: 14.222125 Area: 9.500000 numDots: 9
Coordinates:  (0.000000 , 0.000000)  (5.000000 , 1.000000)  (3.000000 , 5.000000)  Lengths:  (5.099020 , 5.099020)  (4.472136 , 4.472136)  (5.830952 , 5.830952)  Permieter: 15.402107 Area: 11.000000 numDots: 10
Coordinates:  (0.000000 , 0.000000)  (5.000000 , 1.000000)  (2.000000 , 5.000000)  Lengths:  (5.099020 , 5.099020)  (5.000000 , 5.000000)  (5.385165 , 5.385165)  Permieter: 15.484184 Area: 11.500000 numDots: 11
Coordinates:  (0.000000 , 0.000000)  (5.000000 , 2.000000)  (2.000000 , 6.000000)  Lengths:  (5.385165 , 5.385165)  (5.000000 , 5.000000)  (6.324555 , 6.324555)  Permieter: 16.709720 Area: 13.000000 numDots: 12
Coordinates:  (0.000000 , 0.000000)  (6.000000 , 1.000000)  (3.000000 , 5.000000)  Lengths:  (6.082763 , 6.082763)  (5.000000 , 5.000000)  (5.830952 , 5.830952)  Permieter: 16.913714 Area: 13.500000 numDots: 13
